omni_omni.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2016  5  6 11 54  0   0    4.08   -7.12   -4.31  -381.70     6.41   -13.42     9.08     565620.2
 2016  5  6 11 55  0   0    4.35   -7.58   -3.28  -382.17    10.80   -13.22     9.20     560892.4
 2016  5  6 11 56  0   0    3.75   -7.88   -3.03  -382.64    15.19   -13.01     9.31     556164.6
 2016  5  6 11 57  0   0    3.65   -7.65   -3.20  -382.95    14.29   -13.20     9.38     556827.3
 2016  5  6 11 58  0   0    3.93   -7.61   -3.72  -383.26    13.39   -13.39     9.45     557490.0
 2016  5  6 11 59  0   0    4.07   -7.58   -3.82  -383.56    12.49   -13.59     9.53     558152.8
 2016  5  6 12  0  0   0    4.25   -6.29   -6.28  -408.00    10.80   -15.90    10.96      99924.0
 2016  5  6 12  1  0   0    4.26   -6.53   -5.84  -408.00    12.60   -16.00    10.88      98604.0
 2016  5  6 12  2  0   0    3.85   -6.99   -4.93  -407.60     7.10    -6.90    10.73      98240.0
 2016  5  6 12  3  0   0    3.62   -7.09   -4.80  -408.20    11.30   -10.70    11.20      94350.0
 2016  5  6 12  4  0   0    3.65   -7.03   -5.12  -411.70    14.70    -9.80    11.43      90538.0
 2016  5  6 12  5  0   0    4.29   -6.94   -4.87  -410.60    13.10    -4.90    12.01      96322.0
 2016  5  6 12  6  0   0    4.53   -6.09   -5.68  -410.20    16.80    -7.40    11.47      96956.0
 2016  5  6 12  7  0   0    3.83   -6.20   -5.47  -409.90    14.60    -6.20    12.06     107684.0
 2016  5  6 12  8  0   0    3.98   -6.14   -5.94  -412.90    12.90    -4.90    11.76      97423.0
 2016  5  6 12  9  0   0    3.93   -6.40   -5.66  -413.80    12.80    -5.40    11.62      95165.0
 2016  5  6 12 10  0   0    3.72   -5.92   -6.05  -412.00    11.20    -1.50    12.26     100686.0
 2016  5  6 12 11  0   0    2.98   -6.89   -4.47  -410.30    12.90    -3.90    11.94     100931.0
 2016  5  6 12 12  0   0    2.46   -7.33   -4.26  -406.20    13.20   -10.50    12.07     108580.0
 2016  5  6 12 13  0   0    1.81   -7.59   -3.97  -403.80    14.30   -15.40    12.04     113098.0
 2016  5  6 12 14  0   0    1.42   -6.98   -3.60  -406.70    11.30    -7.00    12.12     109951.0
 2016  5  6 12 15  0   0    0.67   -7.26   -2.50  -409.00    12.30    -7.80    11.84     124608.0
