File created on 2022-11-02T10:49:43.236186
#COOR
GSM


#START
2021 12 03 02 57 00 000       -2.51       1.18       1.24    -466.30     -29.27       6.58       3.58  171264.00
2021 12 03 02 58 00 000       -3.03       0.14       2.03    -463.80      -8.48       5.80       3.68  135356.00
2021 12 03 02 59 00 000       -2.67       0.59       1.70    -464.60      -7.94       6.47       3.67  142763.00
2021 12 03 03 00 00 000       -2.57       0.09       1.97    -468.70      -8.59       8.82       3.62  184893.00
2021 12 03 03 01 00 000       -2.48       0.06       1.77    -468.10     -12.89       7.18       3.60  181706.00
2021 12 03 03 02 00 000       -2.88       0.89       1.67    -469.03      -5.94       8.88       3.59  170890.67
2021 12 03 03 03 00 000       -2.86       0.29       1.74    -469.97       1.02      10.56       3.57  160075.33
2021 12 03 03 04 00 000       -2.63       0.96       1.70    -470.90       7.97      12.23       3.56  149260.00
2021 12 03 03 05 00 000       -2.68      -0.22       1.92    -470.90       7.98      12.22       3.56  149260.00
2021 12 03 03 06 00 000       -2.88       0.47       1.75    -463.60     -19.18       5.73       3.86  173425.00
2021 12 03 03 07 00 000       -2.59      -0.53       2.29    -465.70     -14.06      15.03       3.94  160172.00
2021 12 03 03 08 00 000       -2.34      -0.99       2.57    -470.60      -2.42      21.40       3.73  148047.00
2021 12 03 03 09 00 000       -2.40      -0.08       2.55    -473.00       3.13      15.53       3.39  153192.00
2021 12 03 03 10 00 000       -2.56       0.12      -2.04    -458.80      -4.57      42.80       3.57  142722.00
2021 12 03 03 11 00 000       -2.35      -0.83      -3.44    -458.80      -4.54      42.80       3.57  142722.00
2021 12 03 03 12 00 000       -2.77      -0.31      -3.15    -458.80      -4.51      42.80       3.57  142722.00
2021 12 03 03 13 00 000       -2.66      -0.81      -2.79    -456.40      -3.36      45.94       3.88  171294.00
2021 12 03 03 14 00 000       -2.68      -0.54      -2.90    -456.40      -3.32      45.94       3.88  171294.00
2021 12 03 03 15 00 000       -2.79      -0.63      -3.31    -456.80      -1.29      43.75       3.67  148962.00
2021 12 03 03 16 00 000       -3.03      -0.86      -2.93    -457.20       0.75      41.55       3.47  126630.00
2021 12 03 03 17 00 000       -3.24      -0.61      -2.67    -457.20       0.78      41.55       3.47  126630.00
2021 12 03 03 18 00 000       -3.08       0.23      -1.29    -450.10      -2.36      39.27       3.74  156006.00
2021 12 03 03 19 00 000       -3.38      -0.20      -2.34    -450.10      -2.34      39.28       3.74  156006.00
2021 12 03 03 20 00 000       -3.86       0.21      -1.24    -451.58      -3.91      34.58       3.77  153363.00
2021 12 03 03 21 00 000       -3.90       0.28      -1.14    -453.07      -5.48      29.89       3.80  150720.00
2021 12 03 03 22 00 000       -3.88       0.25      -0.98    -454.55      -7.07      25.20       3.83  148077.00
2021 12 03 03 23 00 000       -3.31       0.31      -0.87    -456.03      -8.66      20.52       3.87  145434.00
2021 12 03 03 24 00 000       -2.93       1.63       2.36    -457.52     -10.26      15.84       3.90  142791.00
2021 12 03 03 25 00 000       -3.01       1.63       2.30    -459.00     -11.87      11.16       3.93  140148.00
2021 12 03 03 26 00 000       -3.10       1.65       2.25    -459.00     -11.86      11.16       3.93  140148.00
2021 12 03 03 27 00 000       -2.77       1.24       1.06    -459.00     -11.85      11.17       3.93  140148.00
2021 12 03 03 28 00 000       -3.17       1.64       2.19    -457.90     -13.22      11.59       4.04  147343.00
2021 12 03 03 29 00 000       -3.19       1.75       2.08    -457.90     -13.21      11.60       4.04  147343.00
2021 12 03 03 30 00 000       -3.19       1.65       2.05    -457.10     -14.74      14.85       4.09  149200.00
2021 12 03 03 31 00 000       -2.76       0.91       0.35    -457.10     -14.73      14.86       4.09  149200.00
2021 12 03 03 32 00 000       -3.29       1.51       2.09    -457.10     -14.72      14.87       4.09  149200.00
2021 12 03 03 33 00 000       -3.29       1.35       2.32    -456.60     -12.61      11.20       4.12  154046.00
2021 12 03 03 34 00 000       -3.35       1.38       2.25    -456.60     -12.60      11.21       4.12  154046.00
2021 12 03 03 35 00 000       -3.06       0.69       0.25    -460.50      -2.09      41.23       3.75  141559.00
2021 12 03 03 36 00 000       -3.36       1.32       2.23    -458.30      -4.15      27.46       3.89  137426.00
2021 12 03 03 37 00 000       -3.54       0.72       1.37    -455.00      -7.40       7.17       4.11  131835.00
